DepMap_ID,pubchem,Z_SCORE,ActArea
ACH-000114,5330286,-0.955878579,0
ACH-000930,10127622,-0.955878579,0
ACH-000012,10127622,-0.955878579,0
ACH-000910,10127622,-0.955878579,0
ACH-000617,10127622,-0.955878579,0
ACH-000437,10127622,-0.955878579,0
ACH-000720,10127622,-0.955878579,0
ACH-000681,24180719,-0.955878579,0
ACH-000536,24180719,-0.955878579,0
ACH-000832,24180719,-0.955878579,0
ACH-000662,24180719,-0.955878579,0
ACH-000244,24180719,-0.955878579,0
ACH-000330,24180719,-0.955878579,0
ACH-000978,24180719,-0.955878579,0
ACH-000047,24180719,-0.955878579,0
ACH-000467,24180719,-0.955878579,0
ACH-000914,24180719,-0.955878579,0
ACH-000547,24180719,-0.955878579,0
ACH-000151,24180719,-0.955878579,0
ACH-000315,24180719,-0.955878579,0
ACH-000781,24180719,-0.955878579,0
ACH-000343,24180719,-0.955878579,0
ACH-000674,24180719,-0.955878579,0
ACH-000617,24180719,-0.955878579,0
ACH-000748,24180719,-0.955878579,0
ACH-000271,24180719,-0.955878579,0
ACH-000958,24180719,-0.955878579,0
ACH-000568,24180719,-0.955878579,0
ACH-000930,16038120,-0.955878579,0
ACH-000151,16038120,-0.955878579,0
ACH-000074,16038120,-0.955878579,0
ACH-000514,16038120,-0.955878579,0
ACH-000788,176870,-0.955878579,0
ACH-000978,176870,-0.955878579,0
ACH-000375,176870,-0.955878579,0
ACH-000204,176870,-0.955878579,0
ACH-000449,176870,-0.955878579,0
ACH-000900,176870,-0.955878579,0
ACH-000291,176870,-0.955878579,0
ACH-000062,176870,-0.955878579,0
ACH-000810,176870,-0.955878579,0
ACH-000493,176870,-0.955878579,0
ACH-000226,176870,-0.955878579,0
ACH-000651,176870,-0.955878579,0
ACH-000579,176870,-0.955878579,0
ACH-000522,176870,-0.955878579,0
ACH-000668,5330286,-0.955697587,0.0002795
ACH-000384,5479543,-0.954681252,0.001849
ACH-000245,216345,-0.954643046,0.001908
ACH-000075,5479543,-0.954372369,0.002326
ACH-000792,644241,-0.954317974,0.00241
ACH-000640,5330286,-0.954258399,0.002502
ACH-000987,176870,-0.953991607,0.002914
ACH-000169,5330286,-0.95396959,0.002948
ACH-000476,5479543,-0.953782447,0.003237
ACH-000396,5479543,-0.953707331,0.003353
ACH-000447,5479543,-0.953645166,0.003449
ACH-000783,176870,-0.953400391,0.003827
ACH-000392,24180719,-0.953298077,0.003985
ACH-000514,5479543,-0.953252748,0.004055
ACH-000102,208908,-0.953189936,0.004152
ACH-000147,10117717,-0.952779387,0.004786
ACH-000062,11626560,-0.952534611,0.005164
ACH-000176,10117717,-0.952445897,0.005301
ACH-000245,24180719,-0.952438126,0.005313
ACH-000649,11503417,-0.952186875,0.005701
ACH-000052,208908,-0.952111759,0.005817
ACH-000361,10461815,-0.952100751,0.005834
ACH-000781,216239,-0.9517038,0.006447
ACH-000178,11503417,-0.951361244,0.006976
ACH-000960,10302451,-0.951261521,0.00713
ACH-000381,135611162,-0.950889178,0.007705
ACH-000009,5479543,-0.950853562,0.00776
ACH-000547,10461815,-0.950669009,0.008045
ACH-000568,135611162,-0.950547269,0.008233
ACH-000375,5479543,-0.95049417,0.008315
ACH-000740,5330286,-0.949630333,0.009649
ACH-000114,5479543,-0.94931886,0.01013
ACH-000090,5330286,-0.949299433,0.01016
ACH-000211,5330286,-0.948904426,0.01077
ACH-000562,644241,-0.948632453,0.01119
ACH-000776,10461815,-0.94853532,0.01134
ACH-000754,10117717,-0.948308676,0.01169
ACH-000245,176870,-0.948269823,0.01175
ACH-000930,24180719,-0.947881291,0.01235
ACH-000396,5330286,-0.947732354,0.01258
ACH-000090,10461815,-0.947428003,0.01305
ACH-000434,5479543,-0.947266115,0.0133
ACH-000915,216345,-0.946735121,0.01412
ACH-000464,5479543,-0.94660561,0.01432
ACH-000997,5479543,-0.946534379,0.01443
ACH-000966,5330286,-0.946527904,0.01444
ACH-000579,208908,-0.9464761,0.01452
ACH-000654,10302451,-0.946424295,0.0146
ACH-000617,10461815,-0.946255931,0.01486
ACH-000322,5330286,-0.946236505,0.01489
ACH-000621,10461815,-0.946204127,0.01494
ACH-000558,24180719,-0.946204127,0.01494
ACH-000211,10117717,-0.946132896,0.01505
ACH-000019,11656518,-0.946094043,0.01511
ACH-000866,5330286,-0.945919203,0.01538
ACH-000271,216239,-0.945893301,0.01542
ACH-000481,24180719,-0.945757315,0.01563
ACH-000247,176870,-0.945666657,0.01577
ACH-000810,5330286,-0.945381734,0.01621
ACH-000720,216239,-0.945375258,0.01622
ACH-000810,11503417,-0.945245748,0.01642
ACH-000450,10461815,-0.945077384,0.01668
ACH-000544,5479543,-0.944980251,0.01683
ACH-000464,216345,-0.944326221,0.01784
ACH-000570,10461815,-0.944287368,0.0179
ACH-000144,5330286,-0.944190235,0.01805
ACH-000637,10461815,-0.944119004,0.01816
ACH-000221,176870,-0.9440672,0.01824
ACH-000536,10127622,-0.944015396,0.01832
ACH-000973,11503417,-0.943898836,0.0185
ACH-000953,5479543,-0.943853507,0.01857
ACH-000792,216345,-0.943827605,0.01861
ACH-001307,216345,-0.943756374,0.01872
ACH-000389,10117717,-0.943698094,0.01881
ACH-000062,5479543,-0.943348415,0.01935
ACH-000139,644241,-0.943193003,0.01959
ACH-000669,24180719,-0.943173576,0.01962
ACH-000315,176870,-0.943141198,0.01967
ACH-000484,24180719,-0.943005212,0.01988
ACH-000562,176870,-0.94280447,0.02019
ACH-000449,24180719,-0.942778568,0.02023
ACH-000978,5479543,-0.942662009,0.02041
ACH-000788,644241,-0.942629631,0.02046
ACH-000828,60700,-0.942577827,0.02054
ACH-000670,5330286,-0.942435365,0.02076
ACH-000828,24180719,-0.942169868,0.02117
ACH-000759,5479543,-0.942163392,0.02118
ACH-000219,5479543,-0.942059784,0.02134
ACH-000449,10302451,-0.942014455,0.02141
ACH-000075,24180719,-0.941975602,0.02147
ACH-000090,5479543,-0.941794287,0.02175
ACH-000654,11626560,-0.941315097,0.02249
ACH-000662,10461815,-0.940978369,0.02301
ACH-000155,5479543,-0.940971893,0.02302
ACH-000447,10461815,-0.940693445,0.02345
ACH-000979,216345,-0.940635166,0.02354
ACH-000437,11503417,-0.940525081,0.02371
ACH-000670,5479543,-0.940337291,0.024
ACH-000473,5479543,-0.940298438,0.02406
ACH-000662,10127622,-0.940285487,0.02408
ACH-000997,216345,-0.940246633,0.02414
ACH-000750,5330286,-0.940201305,0.02421
ACH-000811,11626560,-0.940007039,0.02451
ACH-000222,216345,-0.939838675,0.02477
ACH-000113,11503417,-0.939825724,0.02479
ACH-000309,216239,-0.939644409,0.02507
ACH-000473,24180719,-0.939404814,0.02544
ACH-000859,24180719,-0.938951526,0.02614
ACH-000810,208908,-0.93839463,0.027
ACH-000113,176870,-0.938116182,0.02743
ACH-000953,10127622,-0.937960769,0.02767
ACH-000211,10461815,-0.937740601,0.02801
ACH-000888,24180719,-0.937222558,0.02881
ACH-000019,5479543,-0.937073621,0.02904
ACH-000054,176870,-0.936982963,0.02918
ACH-000464,208908,-0.936613857,0.02975
